X,Y,Sub_Pixel,Type,Judge,dx (um),dy (um),angle(degree)
578.0,977.0,1,2,,0.2826115152700312,-0.7080861789502673,
579.0,977.0,1,2,,1.3125397041122087,0.43417743054460844,
